"","extGene","wt.group","tgfb.group","shZ.group","CA1a.group"
"698","ANKRD36",1,1,4,1
"699","ANKRD36B",5,1,1,3
"700","ANKRD36BP2",4,4,6,2
"701","ANKRD37",1,1,1,1
"702","ANKRD39",4,5,2,5
"703","ANKRD40",3,1,5,1
"704","ANKRD42",6,7,2,3
"705","ANKRD44",4,5,6,7
"706","ANKRD45",3,6,6,5
"707","ANKRD46",1,7,2,7
"708","ANKRD49",6,2,2,6
"709","ANKRD50",7,5,2,6
"710","ANKRD52",7,5,3,3
"711","ANKRD53",3,4,5,1
"712","ANKRD54",5,4,5,5
"713","ANKRD55",5,1,5,2
"714","ANKRD6",5,4,6,5
"715","ANKRD62P1-PARP4P3",2,4,6,5
"716","ANKRD63",5,4,6,6
"717","ANKRD65",5,7,3,3
"718","ANKRD66",2,6,6,5
"719","ANKRD7",3,6,6,7
"720","ANKRD9",7,5,7,6
"721","ANKS1A",5,5,6,5
"722","ANKS3",7,5,3,3
"723","ANKS4B",2,4,6,5
"724","ANKS6",6,1,3,3
"725","ANKUB1",2,6,6,2
"726","ANKZF1",6,2,4,4
"727","ANLN",1,3,2,1
"728","ANO1",5,4,3,6
"729","ANO10",6,2,7,1
"730","ANO2",3,4,6,2
"731","ANO3",3,4,6,5
"732","ANO4",3,4,3,5
"733","ANO5",5,4,6,5
"734","ANO6",1,3,6,3
"735","ANO7",5,2,5,5
"736","ANO8",6,2,5,3
"737","ANO9",1,1,5,1
"738","ANP32A",4,7,4,1
"739","ANP32A-IT1",6,3,4,5
"740","ANP32AP1",3,4,5,5
"741","ANP32B",6,5,7,6
"742","ANP32C",2,6,6,2
"743","ANP32D",2,6,6,4
"744","ANP32E",7,5,7,4
"745","ANPEP",7,5,5,6
"746","ANTXR1",1,5,5,7
"747","ANTXR2",4,1,1,1
"748","ANXA1",2,2,7,5
"749","ANXA10",2,6,6,2
"750","ANXA11",5,4,3,3
"751","ANXA13",3,6,5,4
"752","ANXA2",5,4,3,5
"753","ANXA2P1",3,6,6,2
