"","target_id","pval","qval","b","se_b","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq","gene_id","ensembl_gene_id"
"508","EXD3",0.0978947278030881,0.582404796361929,0.292071133765418,0.17646237628023,7.94754005607802,0.505177214581054,0.0113357752646813,0.0251818293493884,0.056603796173425,0.056603796173425,"54932","ENSG00000187609"
"509","EXOC2",0.497082537227061,0.855485858880116,0.0917186359490717,0.135061623832715,10.0144468760874,0.0782368548670175,0.00195409463037709,0.00918289978883072,0.0378458520583428,0.0378458520583428,"55770","ENSG00000112685"
"510","EXOC3L2",0.964267143597435,0.993341003828758,0.020948108839207,0.467597195258786,4.60968396175854,0.902072978897652,0.330865089406458,-0.135264384251396,0.146183209532924,0.146183209532924,"90332","ENSG00000283632"
"511","EZH2",0.233634678820285,0.723524142811888,-0.161073958351193,0.135237149653426,10.0749707793365,0.407835250889895,0.00231453050192294,0.0128383449782858,0.0375889312720039,0.0375889312720039,"2146","ENSG00000106462"
"512","F8",0.683665483757681,0.921446912835504,0.0985247517937507,0.241798482604917,6.78945868301299,0.485319218391489,0.0238288216592192,0.103734464573597,0.0775838762175982,0.103734464573597,"2157","ENSG00000185010"
"513","F8A1",0.24354137060448,0.731391365804315,0.237415798691787,0.203584047375541,7.45428293562485,0.15592575007758,0.0117595599712333,0.0786690895105262,0.0644642917503376,0.0786690895105262,"8263","ENSG00000277203"
"514","FAAH2",0.813045970475416,0.964111685860921,0.0901853378657204,0.381335977640179,6.61459164982198,0.886246358496258,0.0276118850343625,0.289661848440819,0.0814709382065696,0.289661848440819,"158584","ENSG00000165591"
"515","FABP2",0.306566442691618,0.766925031258416,-0.552780705970999,0.540641562057944,2.94308503522751,0.37804657671832,0.364787701470748,-0.052109806699315,0.272943131891697,0.272943131891697,"2169","ENSG00000145384"
"516","FADS6",0.646270631387358,0.911309932097088,-0.391376059586767,0.852765494791794,1.31166932322351,1.85669228158096,0.830274043727772,0.756363750688575,0.534953864187096,0.756363750688575,"283985","ENSG00000172782"
"517","FAM106A",0.432151557108202,0.827679285814109,-0.448391968154644,0.570825317515028,3.12374002633421,0.402353566324493,0.456975580017485,-0.0625435041975145,0.253951423144985,0.253951423144985,"80039","ENSG00000213077"
"518","FAM107A",0.209500496431698,0.704466332585152,-0.871726259523159,0.694635737670767,2.21658381532841,0.579416767989355,0.685940988259097,-0.131026215172599,0.366827320212346,0.366827320212346,"11170","ENSG00000168309"
"519","FAM110B",0.729988705364838,0.939653711462997,0.119516474046021,0.346283483648719,4.69885013191471,2.7283101394314,0.119683889733233,0.128771496133496,0.141942839825805,0.141942839825805,"90362","ENSG00000169122"
"520","FAM129C",0.980215522085026,0.995428004959644,-0.00911030584560293,0.367370189797215,3.89166207714597,0.370122141999288,0.0906357866745795,0.203824263547184,0.188435254974649,0.203824263547184,"199786","ENSG00000167483"
"521","FAM131C",0.794296770698532,0.960242992233273,-0.138436894061334,0.530948370759161,3.1133892036993,1.14150890128013,0.360069427920475,-0.0517209830807805,0.254998584614378,0.254998584614378,"348487","ENSG00000185519"
"522","FAM135A",0.697918677978794,0.926745236339238,0.0661876574086749,0.170528924497426,8.35659777910492,0.177367350131655,0.0123016262837483,0.044060928029538,0.0511458953677035,0.0511458953677035,"57579","ENSG00000082269"
"523","FAM149A",0.658089964981279,0.914835163251723,-0.130967568006287,0.295937271348918,5.32456056938561,1.11519404083581,0.0742989576472863,-0.0207218854087324,0.116782210149317,0.116782210149317,"25854","ENSG00000109794"
"524","FAM151A",0.412423484895443,0.822405450678377,-0.30376829596558,0.370613531086031,4.47406508531867,0.210875055647155,0.146675604198272,0.0107396384297838,0.15300669999967,0.15300669999967,"338094","ENSG00000162391"
"525","FAM153A",0.172430239992489,0.668166784585837,1.03785528504668,0.760647576438891,1.22791789219262,1.32158118792463,0.538890022123822,0.723476673604961,0.554153698686845,0.723476673604961,"285596","ENSG00000170074"
"526","FAM153B",0.705889107694832,0.928761296445645,-0.26278609051174,0.696338183654802,1.96551589678241,0.675017211034123,0.650957665239939,0.0461987461714937,0.406977315157883,0.406977315157883,"202134","ENSG00000182230"
"527","FAM155B",0.934300987658637,0.989999798943501,-0.0193486539721876,0.234714720131103,7.25674160453811,0.257811939356911,0.0146924351453762,0.105506109973653,0.0680708858766922,0.105506109973653,"27112","ENSG00000130054"
"528","FAM156A",0.19092329827401,0.688474763635101,-0.264256548283436,0.202053764869461,7.73289767974555,0.145878707638732,0.0192501739722808,0.0698241327140973,0.0598204026771371,0.0698241327140973,"29057","ENSG00000268350"
"529","FAM157A",0.293623854676621,0.75795458096771,0.402320034837632,0.383087131609611,6.31408928942674,0.285189773005228,0.104535223289072,0.215659141230665,0.0885100602468731,0.215659141230665,"728262","ENSG00000236438"
